x_uav,y_uav,z_uav,velocity_x,velocity_y,velocity_z,snr,aoa,aod,wind_speed,wind_direction,battery_level,mission_type,target_next_x,target_next_y,target_next_z,target_next_velocity_x,target_next_velocity_y,target_next_velocity_z,target_optimal_beam_strength,target_energy_consumption,target_flight_stability,target_communication_quality
-100.367905,360.571445,81.239576,0.986585,-3.439814,-1.376022,-10.0,-23.166271,-27.871337,9.299429,349.167547,97.48664,0,-99.511948,357.17915,79.883965,0.68181,-3.525423,-1.450263,0.0,1.009062,0.611112,0.0
-97.686392,360.131631,81.77144,2.681513,-0.439814,0.531864,-10.0,-20.416183,-25.637086,4.458367,218.716147,97.248195,0,-95.012966,359.665135,82.303166,2.635623,-0.361944,0.405352,0.0,0.914481,0.846156,0.008817
-94.10456,360.54045,81.987526,3.581832,0.408819,0.216086,-10.0,-23.078549,-28.462453,1.347766,298.345503,96.967617,0,-90.493621,360.993657,82.22597,3.732832,0.367386,0.153738,0.0,1.012775,0.61163,0.0
-91.227113,360.783573,82.282573,2.877447,0.243123,0.295047,-10.0,-16.907115,-9.938269,1.510443,319.396587,96.72248,0,-88.332757,361.19531,82.554611,2.797719,0.23095,0.153172,0.0,0.954149,0.869793,0.0
-88.277413,361.112373,82.061446,2.9497,0.3288,-0.221127,-10.0,-15.717072,-13.802462,1.682553,104.310523,96.47367,0,-85.25912,361.44995,81.832587,3.084325,0.277474,-0.25791,0.0,0.973936,0.890707,0.0
-86.698264,362.027344,82.078228,1.579149,0.914971,0.016782,-10.0,-21.357555,-14.374863,2.641132,339.447493,96.282413,0,-85.20279,362.888688,82.070195,1.599619,0.828449,-0.049136,0.0,0.868394,0.761815,0.0
-83.961769,362.62655,82.106857,2.736495,0.599206,0.028629,-10.0,-15.533225,-16.774333,4.289984,241.968797,96.042339,0,-81.155013,363.295372,82.11347,2.751874,0.50052,0.120945,0.0,0.978031,0.909084,0.0
-81.139079,363.472474,82.365518,2.82269,0.845924,0.258661,-10.0,-18.247676,-23.388728,1.067907,248.737586,95.794436,0,-78.288582,364.370591,82.63734,3.095468,1.353756,0.226212,0.0,1.006083,0.749014,0.0
-77.780532,365.290427,82.33556,3.358547,1.817953,-0.029958,-10.0,-13.312014,-14.871559,5.195914,58.186337,95.50348,0,-74.369518,367.174636,82.323965,3.167647,1.667718,-0.143001,0.0,1.106738,0.799578,0.0
-74.866948,367.065591,82.318697,2.913584,1.775164,-0.016863,-10.0,-11.117412,-2.958767,3.724309,95.472852,95.232889,0,-71.948675,368.770436,82.300971,2.720981,1.9706,-0.012665,0.0,1.079537,0.726284,0.0
